Mensagem,Spam
"Olá, Empréstimo pré-aprovado de R$ 250 sem consulta e sem burocracia.",1
"Por favor, Segue o cupom de desconto corporativo para compra de livros técnicos. Responda assim que puder.",0
Bom dia. O arquivo PDF do cliente Beta foi atualizado na pasta compartilhada. Responda assim que puder.,0
Bom dia. Método comprovado para ganhar R$ 10.000 dormindo. Verifique quando possível.,1
Atenção: Segue o cupom de desconto corporativo para compra de livros técnicos. Obrigado.,0
A central identificou uma falha e solicita revisão urgente da conta. Obrigado.,1
"Por favor, Bom dia, podemos remarcar a call com o cliente Atlas para 10h? Obrigado.",0
"Olá, Bom dia, podemos remarcar a call com o cliente Gama para 13h? Verifique quando possível.",0
"Comunicado: Seu bônus exclusivo expira em poucos minutos, clique para liberar. Verifique quando possível.",1
Atenção: O pagamento da fatura de Julho foi confirmado pelo financeiro. Responda assim que puder.,0
"Por favor, envie as métricas do cliente Delta até o fim do dia. Obrigado.",0
"Olá, Empréstimo pré-aprovado de R$ 500 sem consulta e sem burocracia. Fico no aguardo.",1
"POR FAVOR, SEGUE O MATERIAL COMPLEMENTAR DA AULA DE HOJE. VERIFIQUE QUANDO POSSÍVEL.",0
Aviso importante: confirme suas credenciais para manter o serviço ativo. Verifique quando possível.,1
"Por favor, Seu benefício exclusivo está aguardando validação imediata.",1
Atenção: Você foi sorteado! Resgate seu vale-compras urgente. Responda assim que puder.,1
Atenção: A coordenação enviou um aviso urgente sobre a mudança de sala. Verifique quando possível.,0
"Olá, Desconto de 80% em eletrodomésticos, estoque limitado. Responda assim que puder.",1
"Por favor, Ganhe R$ 250 fácil e rápido, clique aqui agora. Prazo até hoje.",1
Atenção: O prêmio de inovação será entregue durante o evento corporativo. Prazo até hoje.,0
Bom dia. Trabalhe de casa e receba R$ 10.000 por semana. Prazo até hoje.,1
"ATENÇÃO: BOM DIA, PODEMOS REMARCAR A CALL COM O CLIENTE GAMA PARA 10H? PRAZO ATÉ HOJE.",0
Bom dia. Dúvida sobre a tarefa de logística publicada no ambiente da turma. Prazo até hoje.,0
"Olá, Por favor, envie as métricas do cliente Nexus até o fim do dia. Prazo até hoje.",0
"Bom dia. Ana, pode revisar o relatório de marketing até amanhã? Fico no aguardo.",0
"Por favor, Método comprovado para ganhar R$ 50.000 dormindo. Verifique quando possível.",1
"Olá, Confirmação da reserva da sala para o dia 24. Verifique quando possível.",0
"Olá, Confirme seus dados no portal interno antes da emissão do crachá. Obrigado.",0
Bom dia. Detectamos acesso incomum e solicitamos verificação urgente dos dados. Ref. 101,1
"Por favor, Segue o cupom de desconto corporativo para compra de livros técnicos.",0
Comunicado: Nova política de segurança exige confirmação imediata da conta. Obrigado.,1
"Seu bônus exclusivo expira em poucos minutos, clique para liberar. Fico no aguardo.",1
Atenção: Oferta relâmpago: 70% de desconto somente para você.,1
Bom dia. Atualização do cronograma de entregas do projeto Beta. Verifique quando possível.,0
Atenção: Notificação administrativa: pendência crítica em seu cadastro. Obrigado.,1
Bom dia. Reunião de alinhamento do projeto às 10h na sala virtual. Obrigado.,0
"Olá, Segue o material complementar da aula de hoje.",0
"Por favor, Aprovação do orçamento de Setembro disponível para revisão. Fico no aguardo.",0
"Atenção: Ganhe R$ 1.000 fácil e rápido, clique aqui agora. Fico no aguardo.",1
Atenção: Detectamos acesso incomum e solicitamos verificação urgente dos dados.,1
Atenção: Atualize sua senha conforme a política de segurança da empresa. Responda assim que puder.,0
"Olá, Ganhe um prêmio em dinheiro respondendo a uma pesquisa rápida. Prazo até hoje.",1
Bom dia. Favor conferir os dados da planilha enviada pela equipe de qualidade. Verifique quando possível.,0
"pfv, Lembrete: treinamento interno de qualidade no dia 13. Verifique quando possível.",0
Atualize sua senha conforme a política de segurança da empresa. Responda assim que puder.,0
"Por favor, A promoção interna de cursos gratuitos para colaboradores começa no dia 26. Responda assim que puder.",0
"Por favor, Mensagem do suporte: sua senha expira em 10 minutos, valide o acesso. Verifique quando possível.",1
Atenção: O desconto para o curso técnico foi aprovado pela instituição. Responda assim que puder.,0
Atenção: Você foi sorteado! Resgate seu carro 0km urgente. Fico no aguardo.,1
"Bom dia. Seu bônus exclusivo expira em poucos minutos, clique para liberar. Fico no aguardo.",1
"Olá, Trabalhe de casa e receba R$ 10.000 por semana. Obrigado.",1
Clique no portal da intranet para acessar o comprovante de treinamento.,0
Ganhe um smartphone respondendo a uma pesquisa rápida. Prazo até hoje.,1
Atenção: Empréstimo pré-aprovado de R$ 250 sem consulta e sem burocracia. Responda assim que puder.,1
Atenção: Favor conferir os dados da planilha enviada pela equipe de logística. Responda assim que puder.,0
Oferta de desconto educacional disponível para alunos matriculados. Responda assim que puder.,0
Atenção: A coordenação enviou um aviso urgente sobre a mudança de sala. Responda assim que puder.,0
Comunicado: Oferta relâmpago: 80% de desconto somente para você. Prazo até hoje.,1
"Olá, Favor conferir os dados da planilha enviada pela equipe de compras. Verifique quando possível.",0
Comunicado: O acesso ao portal de aulas ficará indisponível durante a manutenção. Verifique quando possível.,0
Bom dia. Regularize a pendência do cadastro para liberar o prêmio. Prazo até hoje.,1
Bom dia. Precisamos validar os indicadores de logística antes da apresentação. Fico no aguardo.,0
Bom dia. Precisamos validar os indicadores de financeiro antes da apresentação. Fico no aguardo.,0
Segue a ata da reunião sobre qualidade realizada ontem. Fico no aguardo.,0
Bom dia. Favor conferir os dados da planilha enviada pela equipe de RH. Obrigado.,0
"Por favor, Clique no portal da intranet para acessar o comprovante de treinamento.",0
"Por favor, Oferta relâmpago: 80% de desconto somente para você. Obrigado.",1
O prêmio de inovação será entregue durante o evento corporativo.,0
Bom dia. Oferta de desconto educacional disponível para alunos matriculados. Prazo até hoje.,0
Bom dia. Notificação administrativa: pendência crítica em seu cadastro. Fico no aguardo.,1
Bom dia. Atualização do cronograma de entregas do projeto Beta. Obrigado.,0
Comunicado: Notificação administrativa: pendência crítica em seu cadastro.,1
Comunicado: Ganhe um prêmio em dinheiro respondendo a uma pesquisa rápida.,1
"Olá, Nova política de segurança exige confirmação imediata da conta. Fico no aguardo.",1
"OLÁ, GANHE R$ 5.000 FÁCIL E RÁPIDO, CLIQUE AQUI AGORA. OBRIGADO.",1
Trabalhe de casa e receba R$ 50.000 por semana. Prazo até hoje.,1
"Olá, Atualização do cronograma de entregas do projeto Nexus. Fico no aguardo.",0
"Olá, Libere seu prêmio antes que ele seja cancelado. Verifique quando possível.",1
"Felipe, pode revisar o relatório de compras até amanhã? Responda assim que puder.",0
"Atenção: Seu bônus exclusivo expira em poucos minutos, clique para liberar. Prazo até hoje.",1
Bom dia. Segue a ata da reunião sobre RH realizada ontem. Verifique quando possível.,0
Multiplique seu dinheiro sem sair de casa ainda hoje.,1
"Comunicado: Bom dia, podemos remarcar a call com o cliente Delta para 15h? Verifique quando possível.",0
Comunicado: Sua conta corporativa requer validação imediata para evitar bloqueio. Responda assim que puder.,1
Método comprovado para ganhar R$ 10.000 dormindo. Fico no aguardo.,1
Bom dia. O prêmio de inovação será entregue durante o evento corporativo. Verifique quando possível.,0
"Por favor, Documento fiscal pendente: regularize seu acesso no portal informado.",1
Comunicado: Lembrete: treinamento interno de logística no dia 16. Obrigado.,0
Atenção: Sua assinatura será suspensa se os dados não forem atualizados hoje. Verifique quando possível.,1
Bom dia. Documento fiscal pendente: regularize seu acesso no portal informado. Obrigado.,1
Você foi sorteado! Resgate seu viagem urgente. Verifique quando possível.,1
Aviso importante: confirme suas credenciais para manter o serviço ativo. Verifique quando possível. Ref. 101,1
"Olá, Ganhe um viagem respondendo a uma pesquisa rápida. Prazo até hoje.",1
"Bom dia. Comunicado financeiro: pagamento recusado, revise seus dados agora. Responda assim que puder.",1
Atenção: Central de suporte solicita autenticação para liberar novo protocolo.,1
Bom dia. A campanha de brindes internos será aberta para todos os funcionários. Prazo até hoje.,0
Comunicado: Empréstimo pré-aprovado de R$ 10.000 sem consulta e sem burocracia. Obrigado.,1
"Bom dia. Eduarda, pode revisar o relatório de qualidade até amanhã?",0
"Comunicado: Ganhe R$ 50.000 fácil e rápido, clique aqui agora. Obrigado.",1
O desconto para o curso técnico foi aprovado pela instituição. Responda assim que puder.,0
"Por favor, Acesso VIP liberado para palestrantes cadastrados no congresso interno.",0
Comunicado: Aprovação do orçamento de Julho disponível para revisão. Fico no aguardo.,0
Última chance para receber um vale-compras totalmente grátis. Obrigado.,1
"Olá, Segue a ata da reunião sobre tecnologia realizada ontem. Verifique quando possível.",0
"Bom dia. Por favor, envie as métricas do cliente Beta até o fim do dia. Fico no aguardo.",0
Comunicado: O arquivo PDF do cliente Beta foi atualizado na pasta compartilhada. Obrigado.,0
Bom dia. Confirmação da reserva da sala para o dia 18.,0
"Por favor, Método comprovado para ganhar R$ 10.000 dormindo.",1
"Olá, A promoção de bolsas de estudo será divulgada no mural oficial.",0
"POR FAVOR, FAVOR CONFERIR OS DADOS DA PLANILHA ENVIADA PELA EQUIPE DE RH. RESPONDA ASSIM QUE PUDER.",0
Comunicado: Ganhe um vale-compras respondendo a uma pesquisa rápida. Obrigado.,1
Comunicado: O pagamento da fatura de Agosto foi confirmado pelo financeiro. Verifique quando possível.,0
"Mensagem do suporte: sua senha expira em 10 minutos, valide o acesso.",1
"pfv, O RH enviou o link oficial para atualização dos dados cadastrais. Responda assim que puder.",0
bom dia. segue o material complementar da aula de hoje. fico no aguardo.,0
Bom dia. Precisamos validar os indicadores de tecnologia antes da apresentação. Fico no aguardo.,0
"Por favor, Confirmação da reserva da sala para o dia 8. Obrigado.",0
"Por favor, Precisamos validar os indicadores de qualidade antes da apresentação.",0
Bom dia. Inscrição gratuita no evento técnico aprovada pela coordenação. Prazo até hoje.,0
"Olá, Aviso importante: confirme suas credenciais para manter o serviço ativo. Verifique quando possível.",1
"Pendência financeira encontrada, valide seu cadastro para evitar multa. Responda assim que puder.",1
"Por favor, Aprovação do orçamento de Outubro disponível para revisão.",0
"Atenção: Seu armazenamento corporativo excedeu o limite, confirme a renovação. Prazo até hoje.",1
atenção: central de suporte solicita autenticação para liberar novo protocolo. obrigado.,1
Bom dia. Sua assinatura será suspensa se os dados não forem atualizados hoje. Responda assim que puder.,1
"Comunicado: Desconto de 70% em smartphones, estoque limitado.",1
"Bom dia, podemos remarcar a call com o cliente Delta para 17h? Obrigado.",0
Comunicado: Atualize sua senha conforme a política de segurança da empresa.,0
"por favor, por favor, envie as métricas do cliente orion até o fim do dia. fico no aguardo.",0
Atenção: Precisamos validar os indicadores de marketing antes da apresentação. Fico no aguardo.,0
Bom dia. Última chance para receber um prêmio em dinheiro totalmente grátis. Obrigado.,1
"Olá, Aviso importante: confirme suas credenciais para manter o serviço ativo. Verifique quando possível. Ref. 101",1
"Por favor, A central identificou uma falha e solicita revisão urgente da conta. Fico no aguardo.",1
"Comunicado: Prezado cliente, identificamos inconsistências no seu cadastro bancário.",1
"Atenção: Bom dia, podemos remarcar a call com o cliente Beta para 11h? Responda assim que puder.",0
"Olá, Dúvida sobre a tarefa de tecnologia publicada no ambiente da turma. Responda assim que puder.",0
Notificação administrativa: pendência crítica em seu cadastro. Fico no aguardo.,1
Atualização do cronograma de entregas do projeto Nexus.,0
"Olá, Sua assinatura será suspensa se os dados não forem atualizados hoje. Obrigado.",1
Atenção: Última chance para se inscrever no workshop gratuito da empresa. Obrigado.,0
"Por favor, Bruno, pode revisar o relatório de compras até amanhã? Fico no aguardo.",0
"Por favor, Ganhe um carro 0km respondendo a uma pesquisa rápida. Responda assim que puder.",1
"Olá, Comunicado financeiro: pagamento recusado, revise seus dados agora. Fico no aguardo.",1
comunicado: seu benefício exclusivo está aguardando validação imediata. obrigado.,1
"Olá, Favor conferir os dados da planilha enviada pela equipe de financeiro. Fico no aguardo.",0
Multiplique seu dinheiro sem sair de casa ainda hoje. Prazo até hoje.,1
"Olá, Atualização do cronograma de entregas do projeto Beta. Responda assim que puder.",0
Comunicado: Renda extra garantida: comece hoje e lucre amanhã. Fico no aguardo.,1
"Comunicado: Bom dia, podemos remarcar a call com o cliente Omega para 17h? Verifique quando possível.",0
"Olá, Aviso importante: confirme suas credenciais para manter o serviço ativo. Fico no aguardo.",1
Atenção: Solicitação de compliance: envie a validação da conta ainda hoje.,1
Renda extra garantida: comece hoje e lucre amanhã.,1
Atenção: A coordenação enviou um aviso urgente sobre a mudança de sala.,0
"Por favor, Precisamos validar os indicadores de atendimento antes da apresentação. Verifique quando possível.",0
Atenção: Clique no portal da intranet para acessar o comprovante de treinamento.,0
"Bom dia. Desconto de 70% em smartphones, estoque limitado. Responda assim que puder.",1
Atenção: Você foi sorteado! Resgate seu vale-compras urgente.,1
"POR FAVOR, MULTIPLIQUE SEU DINHEIRO SEM SAIR DE CASA AINDA HOJE.",1
Bom dia. Documento fiscal pendente: regularize seu acesso no portal informado. Fico no aguardo.,1
Bom dia. Central de suporte solicita autenticação para liberar novo protocolo. Responda assim que puder.,1
"Por favor, Reunião de alinhamento do projeto às 08h na sala virtual. Responda assim que puder.",0
"Por favor, Documento fiscal pendente: regularize seu acesso no portal informado. Obrigado.",1
Bom dia. Compre 1 e leve 2 na nossa queima de estoque secreta. Prazo até hoje.,1
Multiplique seu dinheiro sem sair de casa ainda hoje. Verifique quando possível.,1
Atenção: Documento fiscal pendente: regularize seu acesso no portal informado. Prazo até hoje.,1
Comunicado: Segue o cupom de desconto corporativo para compra de livros técnicos. Responda assim que puder.,0
Atenção: Use o acesso temporário para confirmar seus dados antes do bloqueio. Responda assim que puder.,1
Comunicado: Promoção imperdível: compre agora e receba vale-compras grátis.,1
"olá, o pagamento da fatura de setembro foi confirmado pelo financeiro. verifique quando possível.",0
Bom dia. Atualização do cronograma de entregas do projeto Beta. Responda assim que puder.,0
"Por favor, Sua conta corporativa requer validação imediata para evitar bloqueio.",1
O protocolo de segurança exige autenticação fora do ambiente normal. Verifique quando possível.,1
"Olá, Bom dia, podemos remarcar a call com o cliente Vértice para 09h? Obrigado.",0
Bom dia. Aprovação do orçamento de Março disponível para revisão. Obrigado.,0
"Olá, Confirmação da reserva da sala para o dia 23. Obrigado.",0
Segue a ata da reunião sobre RH realizada ontem. Obrigado.,0
"Olá, Solicitação de compliance: envie a validação da conta ainda hoje. Responda assim que puder.",1
"Bom dia. Último aviso de renovação, informe seus dados para manter o acesso. Prazo até hoje.",1
Atenção: Empréstimo pré-aprovado de R$ 500 sem consulta e sem burocracia.,1
"Por favor, Segue o material complementar da aula de hoje. Prazo até hoje.",0
Atenção: Oferta relâmpago: 70% de desconto somente para você. Prazo até hoje.,1
Bom dia. Atualização do cronograma de entregas do projeto Alpha. Prazo até hoje.,0
Atenção: Use o acesso temporário para confirmar seus dados antes do bloqueio. Verifique quando possível.,1
Bom dia. Libere seu prêmio antes que ele seja cancelado. Obrigado.,1
"Olá, Segue a ata da reunião sobre operações realizada ontem. Verifique quando possível.",0
Bom dia. Multiplique seu dinheiro sem sair de casa ainda hoje. Responda assim que puder.,1
Comunicado: Documento fiscal pendente: regularize seu acesso no portal informado. Verifique quando possível.,1
Renda extra garantida: comece hoje e lucre amanhã. Verifique quando possível.,1
"Olá, Empréstimo pré-aprovado de R$ 1.000 sem consulta e sem burocracia.",1
Bom dia. A campanha de brindes internos será aberta para todos os funcionários. Verifique quando possível.,0
Empréstimo pré-aprovado de R$ 50.000 sem consulta e sem burocracia. Fico no aguardo.,1
Comunicado: Confirme seus dados no portal interno antes da emissão do crachá. Obrigado.,0
Dúvida sobre a tarefa de logística publicada no ambiente da turma. Prazo até hoje.,0
"Por favor, Nova política de segurança exige confirmação imediata da conta. Fico no aguardo.",1
Comunicado: A equipe de logística divulgou uma promoção válida apenas para colaboradores. Obrigado.,0
Bom dia. Dúvida sobre a tarefa de vendas publicada no ambiente da turma. Prazo até hoje.,0
Atenção: Empréstimo pré-aprovado de R$ 1.000 sem consulta e sem burocracia. Obrigado.,1
"Comunicado financeiro: pagamento recusado, revise seus dados agora. Verifique quando possível.",1
"Olá, O arquivo PDF do cliente Delta foi atualizado na pasta compartilhada. Responda assim que puder.",0
atenção: ganhe um carro 0km respondendo a uma pesquisa rápida. responda assim que puder.,1
"Bom dia. Seu bônus exclusivo expira em poucos minutos, clique para liberar. Fico no aguardo. Ref. 101",1
Bom dia. Documento fiscal pendente: regularize seu acesso no portal informado. Fico no aguardo. Ref. 101,1
"Olá, A equipe de RH divulgou uma promoção válida apenas para colaboradores. Prazo até hoje.",0
Bom dia. Aprovação do orçamento de Junho disponível para revisão. Prazo até hoje.,0
Atenção: Renda extra garantida: comece hoje e lucre amanhã.,1
"Atenção: Prezado cliente, identificamos inconsistências no seu cadastro bancário. Fico no aguardo.",1
"Comunicado: Bom dia, podemos remarcar a call com o cliente Sigma para 14h? Prazo até hoje.",0
Comunicado: Lembrete: treinamento interno de financeiro no dia 26. Obrigado.,0
Comunicado: Confirme seus dados no portal interno antes da emissão do crachá.,0
O prêmio acadêmico será entregue aos projetos selecionados.,0
Bom dia. Acesso VIP liberado para palestrantes cadastrados no congresso interno. Verifique quando possível.,0
Atenção: A promoção interna de cursos gratuitos para colaboradores começa no dia 16. Fico no aguardo.,0
"pfv, Atualização do cronograma de entregas do projeto Omega. Responda assim que puder.",0
Comunicado: Oferta de desconto educacional disponível para alunos matriculados. Responda assim que puder.,0
"ATENÇÃO: GANHE R$ 50.000 FÁCIL E RÁPIDO, CLIQUE AQUI AGORA. PRAZO ATÉ HOJE.",1
Comunicado: Segue a ata da reunião sobre compras realizada ontem.,0
"Por favor, O acesso ao portal de aulas ficará indisponível durante a manutenção.",0
Atenção: O link para atualização do cadastro está disponível na intranet da empresa. Verifique quando possível.,0
"Por favor, Segue a ata da reunião sobre marketing realizada ontem. Prazo até hoje.",0
Lembrete: treinamento interno de marketing no dia 1.,0
"Olá, Dúvida sobre a tarefa de financeiro publicada no ambiente da turma. Obrigado.",0
"Olá, Notificação administrativa: pendência crítica em seu cadastro.",1
Atenção: Reunião de alinhamento do projeto às 14h na sala virtual. Fico no aguardo.,0
Bom dia. Atualização do cronograma de entregas do projeto Alpha. Verifique quando possível.,0
Bom dia. O acesso ao portal de aulas ficará indisponível durante a manutenção. Verifique quando possível.,0
"Por favor, Multiplique seu dinheiro sem sair de casa ainda hoje. Verifique quando possível.",1
"pfv, Documento fiscal pendente: regularize seu acesso no portal informado. Responda assim que puder.",1
Atenção: Central de suporte solicita autenticação para liberar novo protocolo. Fico no aguardo.,1
"Olá, Trabalhe de casa e receba R$ 99 por semana. Obrigado.",1
Bom dia. Nova política de segurança exige confirmação imediata da conta. Obrigado.,1
Bom dia. Oferta relâmpago: 99% de desconto somente para você.,1
"Olá, Confirme seus dados no portal interno antes da emissão do crachá. Responda assim que puder.",0
"prezado cliente, identificamos inconsistências no seu cadastro bancário. prazo até hoje.",1
Comunicado: Seu voucher de alimentação foi atualizado no aplicativo corporativo. Obrigado.,0
Atenção: Libere seu prêmio antes que ele seja cancelado. Obrigado.,1
Bom dia. Última chance para receber um carro 0km totalmente grátis.,1
A central identificou uma falha e solicita revisão urgente da conta. Prazo até hoje.,1
Ganhe um assinatura premium respondendo a uma pesquisa rápida. Obrigado.,1
Comunicado: Reunião de alinhamento do projeto às 09h na sala virtual.,0
"olá, libere seu prêmio antes que ele seja cancelado. verifique quando possível.",1
Atenção: Atualização obrigatória de segurança disponível para sua conta. Verifique quando possível.,1
"Olá, O prêmio de inovação será entregue durante o evento corporativo.",0
"Olá, Notificação administrativa: pendência crítica em seu cadastro. Prazo até hoje.",1
Bom dia. Promoção imperdível: compre agora e receba prêmio em dinheiro grátis. Obrigado.,1
"Por favor, Última chance para receber um notebook totalmente grátis. Responda assim que puder.",1
"Por favor, Renda extra garantida: comece hoje e lucre amanhã. Obrigado.",1
"Por favor, A promoção de bolsas de estudo será divulgada no mural oficial. Prazo até hoje.",0
"Por favor, Última chance para receber um viagem totalmente grátis. Verifique quando possível.",1
"Olá, Segue o material complementar da aula de hoje. Ref. 101",0
Atenção: Notificação administrativa: pendência crítica em seu cadastro. Responda assim que puder.,1
Atenção: Última chance para receber um smartphone totalmente grátis.,1
Bom dia. Aprovação do orçamento de Fevereiro disponível para revisão. Responda assim que puder.,0
Bom dia. Libere seu prêmio antes que ele seja cancelado. Responda assim que puder.,1
Bom dia. Empréstimo pré-aprovado de R$ 500 sem consulta e sem burocracia. Verifique quando possível.,1
Atenção: A promoção de bolsas de estudo será divulgada no mural oficial. Obrigado.,0
Aviso importante: confirme suas credenciais para manter o serviço ativo. Responda assim que puder.,1
Bom dia. Última chance para se inscrever no workshop gratuito da empresa.,0
"Por favor, Sua assinatura será suspensa se os dados não forem atualizados hoje. Verifique quando possível.",1
Compre 1 e leve 2 na nossa queima de estoque secreta. Prazo até hoje.,1
Atenção: Segue a ata da reunião sobre RH realizada ontem. Prazo até hoje.,0
"Por favor, Dúvida sobre a tarefa de tecnologia publicada no ambiente da turma. Obrigado.",0
Atenção: Inscrição gratuita no evento técnico aprovada pela coordenação.,0
Atenção: Empréstimo pré-aprovado de R$ 500 sem consulta e sem burocracia. Fico no aguardo.,1
Comunicado: O arquivo PDF do cliente Gama foi atualizado na pasta compartilhada. Prazo até hoje.,0
Solicitação de compliance: envie a validação da conta ainda hoje. Obrigado.,1
"Olá, Regularize a pendência do cadastro para liberar o prêmio. Obrigado.",1
Última chance para receber um assinatura premium totalmente grátis. Fico no aguardo.,1
Atenção: Acesso VIP liberado para palestrantes cadastrados no congresso interno. Responda assim que puder.,0
"Olá, Multiplique seu dinheiro sem sair de casa ainda hoje.",1
Atenção: Ganhe um notebook respondendo a uma pesquisa rápida.,1
O prêmio de inovação será entregue durante o evento corporativo. Obrigado.,0
Comunicado: Sua conta corporativa requer validação imediata para evitar bloqueio. Fico no aguardo.,1
"Olá, Atualização obrigatória de segurança disponível para sua conta. Fico no aguardo.",1
Comunicado: Solicitação de compliance: envie a validação da conta ainda hoje. Verifique quando possível.,1
Método comprovado para ganhar R$ 250 dormindo. Responda assim que puder.,1
Atualize sua senha conforme a política de segurança da empresa. Verifique quando possível.,0
"Mensagem do suporte: sua senha expira em 10 minutos, valide o acesso. Obrigado.",1
"Olá, Segue o material complementar da aula de hoje. Prazo até hoje.",0
"Olá, Seu benefício exclusivo está aguardando validação imediata. Prazo até hoje.",1
"Atenção: Por favor, envie as métricas do cliente Orion até o fim do dia.",0
Atenção: Promoção imperdível: compre agora e receba assinatura premium grátis. Prazo até hoje.,1
Atualização do cronograma de entregas do projeto Omega. Prazo até hoje.,0
Trabalhe de casa e receba R$ 5.000 por semana. Verifique quando possível.,1
Atenção: Seu cadastro foi selecionado para uma vantagem especial não divulgada. Prazo até hoje.,1
"Comunicado: Mensagem do suporte: sua senha expira em 10 minutos, valide o acesso. Prazo até hoje.",1
"POR FAVOR, PRECISAMOS VALIDAR OS INDICADORES DE RH ANTES DA APRESENTAÇÃO. OBRIGADO.",0
"Por favor, Oferta relâmpago: 90% de desconto somente para você. Fico no aguardo.",1
Segue o material complementar da aula de hoje. Verifique quando possível.,0
Bom dia. Ganhe um smartphone respondendo a uma pesquisa rápida.,1
Comunicado: O arquivo PDF do cliente Vértice foi atualizado na pasta compartilhada. Obrigado.,0
"Comunicado: Ganhe R$ 500 fácil e rápido, clique aqui agora. Fico no aguardo.",1
"Bom dia. Mensagem do suporte: sua senha expira em 10 minutos, valide o acesso. Fico no aguardo.",1
"Atenção: Mensagem do suporte: sua senha expira em 10 minutos, valide o acesso. Verifique quando possível.",1
Atenção: Precisamos validar os indicadores de marketing antes da apresentação. Prazo até hoje.,0
Comunicado: Segue o material complementar da aula de hoje. Verifique quando possível.,0
"Olá, Seu cadastro foi selecionado para uma vantagem especial não divulgada. Obrigado.",1
Solicitação de compliance: envie a validação da conta ainda hoje. Obrigado. Ref. 101,1
Comunicado: Sua conta corporativa requer validação imediata para evitar bloqueio. Responda assim que puder. Ref. 101,1
Confirme seus dados no portal interno antes da emissão do crachá. Verifique quando possível.,0
A promoção de bolsas de estudo será divulgada no mural oficial. Obrigado.,0
"Pendência financeira encontrada, valide seu cadastro para evitar multa. Obrigado.",1
"Atenção: pfv, envie as métricas do cliente Delta até o fim do dia. Prazo até hoje.",0
Comunicado: Aprovação do orçamento de Outubro disponível para revisão. Verifique quando possível.,0
"Por favor, Inscrição gratuita no evento técnico aprovada pela coordenação. Prazo até hoje.",0
"pfv, Ganhe R$ 500 fácil e rápido, clique aqui agora. Verifique quando possível.",1
Confirmação da reserva da sala para o dia 2. Verifique quando possível.,0
Comunicado: O desconto para o curso técnico foi aprovado pela instituição.,0
"Olá, Seu armazenamento corporativo excedeu o limite, confirme a renovação. Responda assim que puder.",1
"Olá, Comunicado financeiro: pagamento recusado, revise seus dados agora. Prazo até hoje.",1
"Olá, Empréstimo pré-aprovado de R$ 1.000 sem consulta e sem burocracia. Fico no aguardo.",1
"Bom dia. Prezado cliente, identificamos inconsistências no seu cadastro bancário. Obrigado.",1
Bom dia. Segue a ata da reunião sobre logística realizada ontem.,0
"Olá, Precisamos validar os indicadores de RH antes da apresentação. Responda assim que puder.",0
"Olá, Segue o cupom de desconto corporativo para compra de livros técnicos. Prazo até hoje.",0
"Por favor, Método comprovado para ganhar R$ 500 dormindo. Prazo até hoje.",1
Comunicado: Confirmação da reserva da sala para o dia 3. Prazo até hoje.,0
Bom dia. Sua conta corporativa requer validação imediata para evitar bloqueio. Prazo até hoje.,1
