Idade,Salario,Score_Credito,Limite_Aprovado
42,13772,478,6454.25
60,6702,469,3519.12
63,3984,523,2455.56
48,7563,571,4967.62
18,12949,744,6975.86
27,10563,670,5784.95
50,18723,787,9955.71
45,15470,629,8366.81
22,16785,969,10133.33
47,19532,407,7508.11
55,21087,746,9966.77
20,21483,728,8777.98
67,20159,501,8514.54
19,17358,488,7173.39
54,11049,435,4323.26
31,15187,995,9026.36
40,10350,342,4088.28
43,17244,557,7874.84
57,18266,874,9119.21
69,19202,342,6288.99
47,11676,759,6437.62
24,2191,954,5811.92
22,19977,971,13179.04
31,17173,852,8805.31
25,19068,954,10869.84
39,2794,717,2870.55
54,6788,664,5746.92
60,14449,485,6651.36
57,22446,380,7707.48
53,12304,986,9147.07
48,6794,872,5305.24
35,5069,637,3789.35
49,23127,609,10059.45
35,6642,736,4415.69
31,23190,321,7562.01
22,2381,751,4654.72
59,22100,951,11577.55
52,7287,332,2387.32
61,3640,652,3927.37
55,20481,494,8851.04
36,23357,673,9667.28
30,6411,739,4237.04
55,18493,425,6535.03
18,12724,594,5843.67
26,3862,943,5829.12
28,3563,875,4255.05
33,4970,786,4543.82
33,4219,305,1434.12
37,9699,990,7816.31
30,2217,438,1800.21
38,20848,757,11257.16
57,13391,957,10317.86
66,22340,724,10478.86
62,24866,406,10087.11
57,16111,741,7544.08
32,6089,687,4642.4
38,3010,749,5046.77
62,23619,606,9926.79
49,7024,561,3123.51
51,10932,465,5785.52
57,19590,985,11450.07
35,5728,451,2079.37
65,8790,614,4756.25
34,12679,936,9553.44
54,9550,466,3087.09
44,5149,967,6029.7
25,5932,488,2967.23
59,12531,635,6854.95
53,5154,796,5811.97
61,16233,555,6496.73
20,14491,436,5015.65
40,16256,752,9576.6
29,16779,520,6548.41
45,3605,941,4901.62
53,7682,646,4808.97
64,11231,851,8287.02
47,21319,640,8670.6
28,16908,385,6606.56
54,8235,557,4663.6
30,5594,746,5441.58
66,12548,984,7937.06
61,8877,792,5432.34
65,3938,422,2069.36
30,6295,970,7327.35
57,18409,435,8079.12
24,12143,764,5624.82
20,13698,439,5138.19
22,21352,397,6850.57
19,3791,401,1200.0
23,5243,438,2617.96
65,12316,765,8801.84
44,5625,767,3301.26
24,17352,618,8547.65
56,18010,630,9291.04
38,16040,873,8319.68
24,2860,496,2861.43
47,7352,703,5181.42
30,6548,389,3658.74
22,13609,928,7805.24
53,12508,802,6889.95
50,15480,976,10478.4
46,13562,554,4121.04
23,14439,720,7652.1
19,20000,647,9334.06
68,6315,884,6175.62
26,18434,536,7679.19
60,8959,874,7213.22
46,17727,552,8193.38
48,5593,692,3318.13
55,19843,665,8959.28
27,13468,559,5202.35
26,10202,764,6162.09
51,18841,596,8321.01
59,11522,412,4222.86
60,13133,409,5116.44
23,24913,918,12798.22
23,4713,585,3704.71
61,3691,803,7058.76
46,13392,738,8158.96
35,16010,378,5174.27
62,9082,586,5291.46
47,8204,419,4698.05
60,10346,633,5389.51
25,11123,629,5813.84
28,24855,760,11477.92
66,13339,865,7343.1
38,3261,428,2252.4
35,20842,803,9908.59
50,3705,899,5653.78
23,16614,537,7533.94
41,12359,575,5677.25
32,3375,778,4548.12
54,14177,905,8859.47
19,14485,693,6495.19
30,13555,414,5727.79
59,20816,743,9695.88
34,4274,924,5579.68
59,16951,712,8017.69
37,20525,954,11367.58
50,10706,329,3936.49
18,21543,975,11892.14
46,7964,345,2454.93
25,15133,791,9094.7
41,8410,458,4734.08
51,24361,409,8611.32
56,17470,701,8882.41
22,18105,777,8362.03
59,12713,438,6733.57
18,15516,537,7062.95
37,5369,955,5009.85
41,15695,553,6943.44
26,23071,693,10142.77
52,15236,833,9559.0
44,2863,575,3306.45
64,17551,986,10445.79
38,5890,369,1709.63
68,18306,777,8578.22
64,17478,476,7339.92
32,23822,888,11262.48
24,22908,491,8645.44
61,22478,618,9169.3
48,12337,778,7009.83
26,4884,431,2880.19
27,23918,606,9116.72
49,7238,643,3892.75
67,11122,835,7058.09
37,5779,819,5253.59
24,19000,689,8981.29
33,24452,753,10298.31
61,10918,870,6405.74
38,12457,631,7607.23
36,16904,543,6003.99
19,13650,599,6412.01
38,16856,883,9084.65
57,22437,992,11137.82
57,21542,879,11562.53
59,13535,511,7088.35
36,2857,873,3928.03
60,24117,607,9738.71
62,19261,644,8684.51
41,20926,475,7473.48
49,10957,793,8257.5
46,15117,995,9787.87
36,20858,705,10258.97
54,23118,365,8760.29
46,5773,711,5177.67
46,8371,610,5028.61
35,11821,785,7640.84
47,21473,626,9349.39
57,10937,476,4852.14
37,7435,692,4697.88
27,21154,791,11994.52
36,11144,567,6586.95
64,13844,343,4933.55
59,19183,734,8467.71
63,8492,468,3927.09
22,14930,568,5414.21
36,24867,661,10879.71
22,7518,663,5075.75
55,12675,325,4439.62
41,12937,954,9571.6
52,10088,460,4626.66
37,9093,419,2946.56
37,16012,497,8230.43
65,3237,647,2502.0
22,10445,464,4292.5
31,16481,370,4594.08
21,16577,389,4446.69
52,14013,840,8445.65
31,8423,719,5521.88
36,12391,939,7940.17
18,5185,396,2344.25
58,15145,399,6110.47
44,5142,371,2322.36
19,13166,400,4054.91
35,19018,861,9495.91
59,5892,906,6439.72
31,22921,594,9423.11
28,11947,429,3829.95
38,21589,899,11159.42
38,24741,751,11417.4
59,19030,880,10680.08
28,11520,624,5400.49
37,3853,478,1874.54
27,2280,930,3189.01
51,23978,495,9489.41
69,15945,344,4958.25
44,8487,353,3183.75
59,7848,863,7105.93
62,5926,688,4715.49
41,6577,322,1200.0
62,12561,622,6288.41
60,23409,838,12516.35
49,17270,999,10498.05
60,10319,797,7333.06
59,10828,719,7071.16
53,11281,708,5683.82
62,11548,507,4926.43
56,11194,570,5532.45
25,22042,536,8687.22
58,4363,373,1810.96
66,12779,409,5214.44
57,15058,456,6990.25
42,18689,456,7401.98
38,19690,685,9723.26
52,9268,874,5875.92
38,23207,668,10393.44
58,9238,318,2716.81
65,20259,897,10827.12
28,15805,711,7145.5
18,3749,603,3310.64
62,4759,618,4575.76
30,24711,510,8395.0
37,19306,312,6234.81
25,11193,585,5464.24
65,8287,496,4306.0
39,8667,383,2485.99
52,7477,831,6710.28
21,22351,920,12421.64
18,4343,333,1200.0
19,21821,455,8537.27
25,17386,560,7147.19
64,10074,976,8644.18
44,7584,654,6195.36
61,23441,672,9629.88
41,6728,972,5174.48
59,17982,421,6816.33
26,13353,746,7713.75
29,11790,822,7120.36
68,11903,934,8396.93
61,5502,507,3197.99
68,7936,939,8006.25
34,4161,397,2452.08
51,13514,836,8588.54
47,22421,994,12921.47
51,19859,694,10333.45
63,11855,511,4364.26
66,19098,433,8961.62
29,3815,346,1200.0
33,9577,940,8176.46
35,2220,994,4469.34
59,8263,307,1955.62
69,8871,717,6005.03
61,11755,996,9012.71
27,16708,472,6454.67
55,21430,940,11483.25
32,17345,943,9832.67
64,13598,530,5870.99
19,11797,588,5377.72
45,17562,463,5857.5
64,6391,922,7838.94
60,11298,688,6494.91
26,11306,897,6381.43
46,24618,649,10843.68
67,10141,916,9339.33
47,17387,517,6684.16
23,2125,466,1279.05
59,8672,781,5864.02
54,9975,368,5146.68
35,4410,737,4002.71
19,17944,950,10017.14
38,6251,827,6145.17
64,22169,792,12211.19
31,16741,584,7208.01
25,3509,829,5037.22
48,6159,307,1496.4
64,14411,660,7026.2
31,9146,375,3279.46
26,14230,562,7727.68
28,15309,756,7725.33
48,12791,330,3630.44
44,9563,791,5901.05
52,14638,836,8651.68
57,7701,548,3688.67
23,6660,849,5747.0
58,4606,349,1247.24
38,12182,524,5222.27
28,15518,967,9819.92
40,17879,309,5602.81
41,14061,845,8775.64
24,14428,894,9394.8
41,23943,305,8633.1
20,22007,731,10163.38
27,23211,723,10496.79
18,24937,694,11386.43
69,13100,356,5657.43
28,15271,793,7737.75
43,5510,515,2221.8
39,22125,633,8232.59
41,19025,689,10062.43
48,7038,557,3616.06
35,23695,833,9886.57
69,11196,425,3796.93
54,9742,755,5783.9
58,16268,339,5816.74
59,9235,730,5955.99
67,24326,758,11323.8
63,23594,346,9227.39
32,11666,807,6988.29
39,17850,745,9278.65
18,4212,372,1530.22
40,14202,601,6589.44
68,2498,399,2238.01
23,16833,982,10499.42
27,10496,919,7533.69
69,4380,582,2696.74
45,11376,784,6526.38
20,5358,905,6636.7
59,2433,725,2846.49
23,5603,787,3672.38
57,13763,666,7646.59
37,14316,503,6068.87
37,16790,858,9278.12
55,13134,965,9350.09
58,7008,902,7068.91
64,6580,332,1200.0
34,22599,315,7106.59
45,23453,791,11588.46
56,6460,606,4851.57
55,9633,605,5280.44
68,13550,995,9633.01
67,14132,638,7741.06
33,14643,867,8349.29
37,14007,717,7302.28
20,10947,653,5569.69
62,3444,860,4769.04
39,5863,581,3994.19
43,14448,970,9332.39
66,7535,695,3987.26
52,11217,667,6330.6
25,24665,435,8448.23
54,13827,470,7077.15
39,17074,511,7568.36
57,13537,901,9602.35
64,2335,727,3028.27
24,8329,821,7574.75
50,16865,716,9033.73
60,12604,850,7950.5
36,6780,451,2851.99
57,8428,866,7125.11
36,11058,887,8041.34
64,3747,614,4680.9
62,2240,432,1631.28
65,17184,516,7337.21
36,22757,666,9650.2
46,18960,579,8605.77
34,11251,665,6102.38
26,19804,428,7414.97
59,13672,785,7424.27
63,3699,497,3230.2
30,9406,869,7279.24
62,19939,826,10438.94
47,9271,474,3899.66
43,2271,799,4159.67
52,21966,790,11915.95
44,17065,540,7550.87
20,23728,665,10223.97
39,5958,381,2870.65
53,9356,714,5726.29
32,23024,869,11493.94
66,18770,440,8033.85
43,23491,663,10493.12
65,2243,871,3682.76
32,21667,871,11572.9
67,2783,570,2009.43
32,18024,540,7293.85
67,22534,716,10671.87
25,7874,533,4147.76
56,19422,541,7546.5
42,16121,960,9596.57
55,15862,487,5485.5
43,23956,699,11224.3
57,20185,884,11050.35
46,14124,572,7601.35
21,6057,820,5876.3
56,4527,755,3866.66
26,15492,619,8103.02
33,8305,958,7322.68
28,6763,627,3032.54
67,15169,997,10341.13
34,9122,815,5736.1
45,8443,812,5299.58
20,24585,541,9445.65
53,3253,983,5981.04
47,7591,881,6648.22
68,7247,462,3861.6
28,12445,761,6714.08
18,6953,891,6309.87
45,6028,924,4144.31
25,22474,725,10483.47
50,17076,568,7877.72
34,11617,788,7601.63
22,12496,381,3123.73
21,12523,343,4285.85
64,14029,696,8230.2
54,5681,891,7098.96
64,11739,573,6260.8
55,15476,625,6998.12
64,11169,497,5595.99
56,11791,414,4278.73
39,21181,353,8794.14
18,23358,598,9847.34
35,2109,460,1408.38
67,5855,428,2729.93
57,14399,974,8302.38
29,14413,778,8311.41
32,4512,490,2439.42
57,23067,339,7125.48
53,15339,508,6869.11
50,11919,892,9531.43
52,14369,635,6870.61
40,12423,515,5989.79
18,19295,823,10413.64
47,4419,861,4948.87
64,8422,917,7363.7
25,23959,468,8636.75
49,12523,851,7331.61
45,7706,402,3789.93
59,22903,781,11364.82
43,3890,328,1942.65
50,8593,823,5698.38
21,19141,531,7771.93
43,16521,918,9451.47
69,9124,796,5417.22
33,14662,859,9587.11
21,16004,917,8810.04
34,23249,494,9553.68
54,6638,955,7300.81
33,20535,445,6178.52
54,11792,528,4884.57
64,9303,921,7696.97
59,7845,649,4871.72
21,17381,451,6439.65
28,10417,996,9340.94
27,14373,656,7139.66
23,9486,332,4504.92
22,6456,531,2820.32
53,13687,781,7319.14
32,10982,893,7355.5
42,9461,495,4340.38
67,24684,475,8896.46
31,17974,973,11525.25
59,14532,948,10062.48
69,11518,612,6496.16
35,3042,988,6447.76
26,9489,542,4073.88
41,10678,681,6362.12
30,20331,729,8761.87
60,7012,974,6511.9
28,8582,349,2475.33
65,3649,998,5043.03
18,23537,584,9414.73
21,8786,985,6511.58
49,9503,617,5915.79
69,8603,530,3446.35
39,13428,327,3937.6
35,18967,844,10245.54
20,18058,637,9712.46
54,9000,903,8150.49
64,24684,393,7920.35
38,18685,851,8429.14
45,22962,697,10351.7
21,19516,496,7074.03
60,15775,958,9808.0
65,23639,591,10264.21
22,2881,618,3768.81
19,22219,547,8351.42
63,16184,592,8110.32
24,10710,620,6056.57
38,13519,622,5745.75
40,3364,680,3312.34
60,6556,940,6245.67
43,13976,442,4528.44
46,21778,376,7330.3
31,15098,944,8752.48
18,14950,894,9512.68
42,2421,905,4049.77
61,7279,821,6013.04
32,7565,326,2525.53
22,4789,453,2932.12
53,22012,651,9985.45
38,19048,710,9584.9
33,19066,355,5984.52
45,19176,366,6949.97
20,11456,437,4856.15
34,5604,807,4868.88
37,12810,657,5670.99
27,18136,466,6932.67
23,17558,865,8907.51
30,16347,700,8672.31
64,10803,532,5646.57
49,3659,715,3788.02
59,2176,994,5642.52
41,2321,645,2640.21
18,13416,669,6168.66
47,20239,868,11147.96
59,13826,534,5933.58
45,19858,947,11139.72
52,20631,612,8251.76
31,11901,388,5151.83
55,10537,301,1929.56
68,11263,355,4017.35
38,21006,783,9363.76
69,8440,675,5298.24
36,5736,520,2523.34
66,17968,627,8701.45
56,18608,462,7632.49
47,12208,946,7883.55
56,24185,341,8895.06
39,21992,401,7699.88
41,18161,982,11097.0
67,15334,695,8506.4
38,17312,621,7652.83
26,6922,865,5738.96
55,24206,941,12504.05
53,8035,673,4897.36
52,20794,457,8091.28
69,15699,711,8164.36
29,14556,506,6050.65
64,13979,307,4858.2
46,2370,810,3888.35
50,12348,409,4496.8
26,17379,561,6589.64
52,13451,774,7524.9
59,10859,832,7216.27
20,18790,626,7224.45
46,19794,863,9890.48
49,13650,957,8615.66
58,13598,355,5676.7
57,19024,692,9081.68
69,11831,495,4704.76
67,15339,660,6739.04
44,6107,404,2558.68
39,14779,555,6338.69
43,3528,651,2805.16
28,8944,875,6510.35
41,3412,922,4942.77
48,11906,308,3645.8
43,19021,325,5647.14
61,14512,791,9147.91
52,10457,584,5304.53
44,10956,713,6513.66
50,15907,516,5744.26
18,3713,637,3500.75
49,10132,701,5960.21
38,15318,360,4699.62
28,9050,516,4634.57
48,22384,550,9569.32
55,12714,793,7597.69
64,12113,846,6911.88
26,7575,446,3425.38
59,15926,607,9041.08
39,2151,907,4982.76
25,10641,662,5880.05
22,20509,668,8269.44
48,6157,911,4940.09
28,10301,459,4418.77
22,23484,313,6858.55
52,10340,452,2682.64
18,21424,863,10325.32
50,7140,526,4902.44
51,21822,349,7405.56
59,14323,359,5524.23
58,22483,850,12321.94
63,6984,411,2905.18
67,15299,318,5664.07
49,2526,352,1314.44
47,22204,980,11809.64
42,17393,357,6492.65
49,23899,311,8211.23
46,16500,726,7776.19
64,24283,907,12789.42
60,14451,622,7797.67
64,23723,682,9724.11
46,7109,600,5397.27
43,15939,842,8406.14
63,16513,764,9832.91
42,22831,311,8175.91
26,24088,411,8216.14
68,20385,908,10125.23
40,2714,806,4383.42
24,7854,537,3501.86
51,18692,532,7721.08
23,13229,633,6641.35
43,11797,394,4207.53
31,21141,302,6571.78
19,20044,837,10348.11
47,21737,759,10365.81
56,15935,538,6389.28
40,3232,462,2284.28
54,23095,446,7964.65
28,12959,733,6739.42
40,17870,327,4647.71
60,9026,814,7017.25
24,16187,764,7318.17
54,13425,783,7277.99
69,7825,557,4319.31
57,8485,824,7681.29
29,4226,552,2277.7
35,4442,370,1200.0
69,5879,742,4988.1
39,4808,855,4783.68
26,2523,836,4218.61
22,17459,399,6453.81
32,4080,785,4350.08
68,4337,487,3037.83
55,5972,882,5831.64
23,14127,739,7152.89
54,22457,350,8214.81
47,10655,359,4632.45
62,21535,754,10900.54
49,20630,517,8915.04
54,20969,357,8421.74
32,6170,914,6878.08
19,2189,771,4021.22
62,11405,979,7772.78
43,4966,548,4276.64
42,5993,375,1519.28
48,24728,828,10931.01
64,7009,773,5740.63
55,6524,553,4697.8
53,9149,479,4599.65
37,3382,665,3888.86
26,18948,571,7710.99
67,6832,838,6135.0
46,18857,526,7719.48
60,6169,906,6719.9
65,21721,350,7517.51
48,6844,473,3141.64
20,24080,901,13364.11
28,5377,608,3017.25
27,19663,525,9187.86
58,3875,753,4726.28
62,8939,445,4225.76
68,3715,661,3534.97
28,20630,896,11348.72
67,9981,886,7598.96
44,19532,954,11402.36
49,11364,397,5274.54
58,24498,603,9479.05
43,3353,432,2035.96
36,3514,662,2887.37
44,4519,848,6142.54
22,7391,373,2006.34
41,8930,366,2910.92
48,23494,303,8228.82
58,3905,873,4927.18
40,8130,464,2877.25
33,3364,393,2098.07
65,22607,733,9987.03
60,15520,577,7209.3
27,16333,303,5839.64
39,19631,475,7946.71
50,3047,404,1200.0
64,4769,645,4773.11
31,12444,994,8247.52
31,5280,931,6318.64
33,13214,805,7483.34
25,19462,309,8261.68
20,2382,850,3356.93
56,8557,946,7053.82
20,19816,688,9033.82
20,20666,941,11750.88
68,7798,333,2736.7
48,2664,804,4049.49
37,9655,843,7440.48
67,5155,802,4761.17
69,11856,398,3479.78
39,13381,805,6700.72
69,19899,909,10826.08
65,10578,789,7622.57
68,17152,892,9250.97
54,3255,474,2430.38
37,13079,685,7049.59
40,10306,422,3750.34
33,6647,985,6092.8
37,18564,464,8126.1
56,14669,568,6224.06
45,23072,319,7871.51
47,3119,561,1200.0
23,21944,801,10513.56
35,6660,368,2780.81
21,5784,418,2613.34
36,22157,340,8835.3
18,10988,777,6101.06
41,6595,797,4714.08
20,23793,571,11235.88
65,8080,918,7143.24
58,13067,952,8958.43
20,21510,969,12876.15
59,14561,692,7298.73
24,6014,313,1200.0
27,19568,658,7960.55
51,22202,854,11717.44
61,23473,765,12181.51
63,12353,744,6588.9
34,10643,424,4237.77
18,6638,727,5854.86
46,16523,537,7356.3
33,9053,823,6850.83
46,22180,871,10790.92
25,23325,391,8262.29
59,22556,686,10639.6
55,8292,413,3083.83
37,8591,582,4934.43
59,8693,491,5250.81
40,4559,510,2943.87
38,9326,930,7026.64
43,14605,781,9359.4
40,6949,623,5185.85
55,15617,817,8291.07
31,2155,505,1200.0
29,13600,674,8154.14
61,14066,724,8864.15
40,23284,532,8793.06
47,5613,485,2404.67
51,2233,386,1372.58
22,24565,306,7818.39
